disasterNumber,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,placeCode,designatedArea,declaration_date,incident_begin,incident_end,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,23,99023,Columbia (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,101,99101,Pasco (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,131,99131,Walton (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,37,99037,Franklin (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,33,99033,Escambia (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,77,99077,Liberty (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,41,99041,Gilchrist (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,103,99103,Pinellas (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,67,99067,Lafayette (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,73,99073,Leon (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,91,99091,Okaloosa (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,47,99047,Hamilton (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,121,99121,Suwannee (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,113,99113,Santa Rosa (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,79,99079,Madison (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,29,99029,Dixie (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,129,99129,Wakulla (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,57,99057,Hillsborough (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,81,99081,Manatee (County),17813,17811,17824,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,47,99047,Hamilton (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,21,99021,Collier (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,15,99015,Charlotte (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,79,99079,Madison (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,65,99065,Jefferson (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,0,1,41,99041,Gilchrist (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,71,99071,Lee (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,77,99077,Liberty (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,75,99075,Levy (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,107,99107,Putnam (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,45,99045,Gulf (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,113,99113,Santa Rosa (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,0,0,1,1,29,99029,Dixie (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,0,1,55,99055,Highlands (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,0,1,57,99057,Hillsborough (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,0,1,105,99105,Polk (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,7,99007,Bradford (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,3,99003,Baker (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,19,99019,Clay (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,31,99031,Duval (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,37,99037,Franklin (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,17,99017,Citrus (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,53,99053,Hernando (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,67,99067,Lafayette (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,81,99081,Manatee (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,101,99101,Pasco (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,103,99103,Pinellas (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,23,99023,Columbia (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,121,99121,Suwannee (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,123,99123,Taylor (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,129,99129,Wakulla (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,125,99125,Union (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,115,99115,Sarasota (County),15524,15515,15547,
4068,2012,Severe Storm(s),TROPICAL STORM DEBBY,1,0,1,1,89,99089,Nassau (County),15524,15515,15547,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,113,99113,Santa Rosa (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,85,99085,Martin (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,5,99005,Bay (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,87,99087,Monroe (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,43,99043,Glades (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,111,99111,St. Lucie (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,21,99021,Collier (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,91,99091,Okaloosa (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,99,99099,Palm Beach (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,33,99033,Escambia (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,45,99045,Gulf (County),15631,15579,15581,
4084,2013,Hurricane,HURRICANE ISAAC,0,0,1,1,37,99037,Franklin (County),15631,15579,15581,
4138,2013,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,5,99005,Bay (County),15919,15888,15893,
4138,2013,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,131,99131,Walton (County),15919,15888,15893,
4138,2013,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,59,99059,Holmes (County),15919,15888,15893,
4138,2013,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,133,99133,Washington (County),15919,15888,15893,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,59,99059,Holmes (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1,0,1,1,33,99033,Escambia (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,133,99133,Washington (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1,0,1,1,113,99113,Santa Rosa (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,5,99005,Bay (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,13,99013,Calhoun (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1,0,1,1,63,99063,Jackson (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1,0,1,1,91,99091,Okaloosa (County),16196,16188,16196,
4177,2014,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",1,0,1,1,131,99131,Walton (County),16196,16188,16196,
4283,2017,Hurricane,HURRICANE MATTHEW,0,0,1,1,97,99097,Osceola (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,103,99103,Pinellas (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,0,0,1,1,99,99099,Palm Beach (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,37,99037,Franklin (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,119,99119,Sumter (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,29,99029,Dixie (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,65,99065,Jefferson (County),17072,17044,17056,
